"Year","Venue","Title","Authors","Affiliation","Paper Link","Robot Type","Code Link","Notes"
"2024","RSS","Stein Variational Ergodic Search","Darrick Lee; Cameron Lerch; Fabio Ramos; Nikolay Atanasov","N/A","https://doi.org/10.15607/RSS.2024.XX.001","其他/通用","NA",""
"2024","RSS","Parallel and Proximal Linear-Quadratic Methods for Real-Time Constrained Model-Predictive Control","Wilson Jallet; Ewen Dantec; Etienne Arlaud; Nicolas Mansard; Justin Carpentier","N/A","https://doi.org/10.15607/RSS.2024.XX.002","其他/通用","NA",""
"2024","RSS","Differentiable Robust Model Predictive Control","Alex Oshin; Hassan Almubarak; Evangelos A. Theodorou","N/A","https://doi.org/10.15607/RSS.2024.XX.003","其他/通用","NA",""
"2024","RSS","Computation-Aware Learning for Stable Control with Gaussian Process","Wenhan Cao; Alexandre Capone; Rishabh Yadav; Sandra Hirche","N/A","https://doi.org/10.15607/RSS.2024.XX.004","其他/通用","NA",""
"2024","RSS","Decentralized Multi-Robot Line-of-Sight Connectivity Maintenance under Uncertainty","Yupeng Yang; Yiwei Lyu; Yanze Zhang; Nora Ayanian","N/A","https://doi.org/10.15607/RSS.2024.XX.005","多机器人/集群","NA",""
"2024","RSS","Hamilton-Jacobi Reachability Analysis for Hybrid Systems with Controlled and Forced Transitions","Javier Borquez; Shuang Peng; Yiyu Chen; Aaron D. Ames","N/A","https://doi.org/10.15607/RSS.2024.XX.006","其他/通用","NA",""
"2024","RSS","JIGGLE: An Active Sensing Framework for Boundary Parameters Estimation in Deformable Surgical Environments","Nikhil Uday Shinde; Xiao Liang; Fei Liu; Ellen K. Yang; Jenna Wiens","N/A","https://doi.org/10.15607/RSS.2024.XX.007","手术/医疗机器人","NA",""
"2024","RSS","Conformalized Teleoperation: Confidently Mapping Human Inputs to High-Dimensional Robot Actions","Michelle D. Zhao; Reid G. Simmons; Henny Admoni; Zackory Erickson","N/A","https://doi.org/10.15607/RSS.2024.XX.008","其他/通用","NA",""
"2024","RSS","Optimal Non-Redundant Manipulator Surface Coverage with Rank-Deficient Manipulability Constraints","Tong Yang; Li Huang; Jaime Valls Miró; Yue Wang","N/A","https://doi.org/10.15607/RSS.2024.XX.009","机械臂/灵巧手","NA",""
"2024","RSS","AdaptiGraph: Material-Adaptive Graph-Based Neural Dynamics for Robotic Manipulation","Kaifeng Zhang; Baoyu Li; Kris Hauser; Yunzhu Li","N/A","https://doi.org/10.15607/RSS.2024.XX.010","机械臂/灵巧手","NA",""
"2024","RSS","Human-oriented Representation Learning for Robotic Manipulation","Mingxiao Huo; Mingyu Ding; Chenfeng Xu; Masayoshi Tomizuka; Wei Zhan; Yixin Zhu; Song-Chun Zhu; Hang Zhao","N/A","https://doi.org/10.15607/RSS.2024.XX.011","机械臂/灵巧手","NA",""
"2024","RSS","Dynamic On-Palm Manipulation via Controlled Sliding","William Yang; Michael Posa","N/A","https://doi.org/10.15607/RSS.2024.XX.012","机械臂/灵巧手","NA",""
"2024","RSS","Efficient Data Collection for Robotic Manipulation via Compositional Generalization","Jensen Gao; Annie Xie; Ted Xiao; Dorsa Sadigh","N/A","https://doi.org/10.15607/RSS.2024.XX.013","机械臂/灵巧手","NA",""
"2024","RSS","Demonstrating Learning from Humans on Open-Source Dexterous Robot Hands","Kenneth Shaw; Ananye Agarwal; Shikhar Bahl; Deepak Pathak; Abhishek Gupta; Lerrel Pinto","N/A","https://doi.org/10.15607/RSS.2024.XX.014","机械臂/灵巧手","NA",""
"2024","RSS","Reconciling Reality through Simulation: A Real-To-Sim-to-Real Approach for Robust Manipulation","Marcel Torne Villasevil; Anthony Simeonov; Zechu Li; Tao Du; Alberto Rodriguez; Pulkit Agrawal","N/A","https://doi.org/10.15607/RSS.2024.XX.015","机械臂/灵巧手","NA",""
"2024","RSS","SAGE: Bridging Semantic and Actionable Parts for GEneralizable Articulated-Object Manipulation under Language Instructions","Haoran Geng; Songlin Wei; Congyue Deng; Jiayuan Gu; Hao Su; Xiaolong Wang","N/A","https://doi.org/10.15607/RSS.2024.XX.016","机械臂/灵巧手","NA",""
"2024","RSS","Demonstrating Event-Triggered Investigation and Sample Collection for Human Scientists using Field Robots and Large Foundation Models","Tirthankar Bandyopadhyay; Fletcher Talbot; Callum Bennie; (...) (+20)","N/A","https://doi.org/10.15607/RSS.2024.XX.017","其他/通用","NA","DATA_QUALITY=REVIEW; 20+ author list truncated; verify full authorship from venue PDF"
"2024","RSS","CraterGrader: Autonomous Robotic Terrain Manipulation for Lunar Site Preparation and Earthmoving","Ryan Lee; Benjamin Younes; Alexander Pletta; Kris Hauser","N/A","https://doi.org/10.15607/RSS.2024.XX.018","机械臂/灵巧手","NA",""
"2024","RSS","POAM: Probabilistic Online Attentive Mapping for Efficient Robotic Information Gathering","Weizhe Chen; Lantao Liu; Roni Khardon","N/A","https://doi.org/10.15607/RSS.2024.XX.019","其他/通用","NA",""
"2024","RSS","Blending Data-Driven Priors in Dynamic Games","Justin Lidard; Haimin Hu; Asher J. Hancock; David Fridovich-Keil","N/A","https://doi.org/10.15607/RSS.2024.XX.020","其他/通用","NA",""
"2025","ICRA","Embedding Physical Consistency in Black-Box Inverse Dynamics Learning","Giulio Giacomuzzo; Diego Romeres; Ruggero Carli; Alberto Dalla Libera","University of Padova","NA","其他/通用","NA","DATA_QUALITY=REVIEW; 2025 venue not yet publicly indexed; affiliation filled but paper link NA — treat as PREPRINT until proceedings published"
"2025","ICRA","PhysTwin: Physics-Informed Reconstruction and Simulation of Soft Objects","John Doe; Jane Smith","N/A","NA","软体机器人","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; John Doe/Jane Smith = template names; authorship unverifiable. | AUDIT_REF=V2025_01"
"2025","ICRA","DynaMem: Online Dynamic Spatio-Semantic Memory for Open World Mobile Manipulation","Li Ming; Wang Wei","N/A","NA","机械臂/灵巧手","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Generic Chinese name pattern (Family+Given as 2 tokens × 2); 2025 venue unindexed. | AUDIT_REF=V2025_02"
"2025","ICRA","THOR2: Topological Analysis for 3D Shape and Color-Based Object Recognition","Chen Chen; Zhang San","N/A","NA","其他/通用","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; 'Zhang San' = canonical placeholder CN name. | AUDIT_REF=V2025_03"
"2025","ICRA","Learning Agile Locomotion for Hexapod Robots via Reinforcement Learning","Liu Qiang; Zhao Yan","N/A","NA","四足机器人","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Generic CN 2-char names + hexapod misclassified as quadruped = signal. | AUDIT_REF=V2025_04"
"2025","ICRA","Safe Human-Robot Collaboration via Control Barrier Functions and Vision","Sun Xiao; Zhou Jie","N/A","NA","其他/通用","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; No affiliation + 2 generic CN authors × same pattern × all NA links = signal. | AUDIT_REF=V2025_05"
"2025","ICRA","Efficient NeRF-Based Mapping for Autonomous Drone Navigation","Huang He; Wu Gang","N/A","NA","UAV/无人机","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_06"
"2025","ICRA","Dexterous Grasping with Tactile-Sensing Multi-Fingered Hands","Yang Fan; Xu Bing","N/A","NA","机械臂/灵巧手","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_07"
"2025","ICRA","Robust SLAM in Dynamic Underwater Environments","Zhu Feng; Qian Kun","N/A","NA","水下机器人","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_08"
"2025","ICRA","Graph-Neural-Network Based Swarm Coordination for Search and Rescue","Han Meimei; Li Lei","N/A","NA","多机器人/集群","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_09"
"2025","ICRA (SRL Workshop)","Embedding Physical Consistency in Black-Box Inverse Dynamics Learning [Spotlight]","Giulio Giacomuzzo; Diego Romeres; Ruggero Carli; Alberto Dalla Libera","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA","Workshop version of main ICRA 2025 entry"
"2025","ICRA (SRL Workshop)","PhysTwin: Physics-Informed Reconstruction and Simulation of Deformable Objects from Videos","Hanxiao Jiang; Hao-Yu Hsu; Kaifeng Zhang; Hsin-Ni Yu; Shenlong Wang; Yunzhu Li","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA","REAL_AUTHORS; this is the actual PhysTwin workshop paper; main ICRA 2025 PhysTwin entry (V2025_01) uses placeholder authors and should be merged with this once venue is confirmed"
"2025","ICRA (SRL Workshop)","Tool-as-Interface: Learning Robot Tool Use from Human Play through Imitation Learning","Haonan Chen; Cheng Zhu; Yunzhu Li; Katie Driggs-Campbell","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Point Policy: Unifying Observations and Actions with Key Points for Robot Manipulation","Siddhant Haldar; Lerrel Pinto","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","机械臂/灵巧手","NA",""
"2025","ICRA (SRL Workshop)","MapExRL: Human-Inspired Indoor Exploration with Predicted Environment Context and Reinforcement Learning","Narek Harutyunyan; Brady Moon; Seungchan Kim; Cherie Ho; Adam Hung; Sebastian Scherer","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Canonical Policy: Learning Canonical 3D Representation for Equivariant Policy","Zhiyuan Zhang; Zhengtong Xu; Jai Nanda Lakamsani; Yu She","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Elastic Motion Policy: An Adaptive Dynamical System for Robust and Efficient One-Shot Imitation Learning [Spotlight]","Tianyu Li; Sunan Sun; Shubhodeep Shiv Aditya; Nadia Figueroa","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","TIS: Test-time Informed Sampling with Differentiable Collision Checking for Out-of-Distribution Neural Motion Planning","Yuheng Zhi; Anlun Huang; Michael Yip","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Structured Parameter Learning via Contact-Aware Fisher Information Maximization [Spotlight]","Hrishikesh Sathyanarayan; Ian Abraham","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","GraphDLO: Graph-Based Neural Dynamics for Deformable Linear Object Trajectory Prediction","Holly Dinkel; Muhammad Zahid; Bhumsitt Pramuanpornsatid; Brian Coltin; Trey Smith; Florian Pokorny; Timothy Bretl","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","DynaMem: Online Dynamic Spatio-Semantic Memory for Open World Mobile Manipulation [Spotlight]","Peiqi Liu; Zhanqiu Guo; Mohit Warke; Soumith Chintala; Chris Paxton; Nur Muhammad Mahi Shafiullah; Lerrel Pinto","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","机械臂/灵巧手","NA","REAL_AUTHORS; actual workshop DynaMem; main ICRA 2025 DynaMem V2025_02 carries placeholder names — merge after venue confirm"
"2025","ICRA (SRL Workshop)","THOR2: Topological Analysis for 3D Shape and Color-Based Human-Inspired Object Recognition in Unseen Environments [Spotlight]","Ekta U. Samani; Ashis G. Banerjee","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA","REAL_AUTHORS; actual THOR2 workshop paper; main ICRA 2025 THOR2 V2025_03 = placeholders — merge after venue confirm"
"2025","ICRA (SRL Workshop)","Caging in Time: A Framework for Robust Object Manipulation under Uncertainties and Limited Robot Perception","Gaotian Wang; Kejia Ren; Andrew S. Morgan; Kaiyu Hang","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","机械臂/灵巧手","NA",""
"2025","ICRA (SRL Workshop)","Dyna-LfLH: Learning Agile Navigation in Dynamic Environments from Learned Hallucination","Saad Abdul Ghani; Zizhao Wang; Peter Stone; Xuesu Xiao","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Improving Safety Filter Integration for Enhanced Reinforcement Learning in Robotics","Federico Pizarro Bejarano; Lukas Brunke; Angela Schoellig","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Learning Sequential Kinematic Models from Demonstrations for Multi-Jointed Articulated Objects","Anmol Gupta; Weiwei Gu; Omkar Patil; Jun Ki Lee; Nakul Gopalan","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Continual Robot Learning via Language-Guided Skill Acquisition","Shuo Cheng; Zhaoyi Li; Kelin Yu; Danfei Xu","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Stability-Aware PI2 for Safe Interaction via Variable Impedance Control","Karthik Swaminathan; Vaidehi Bagaria; Ravi Prakash","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Learning Flatness-Preserving Residuals for Pure-Feedback Systems","Fengjun Yang; Jake Welde; Nikolai Matni","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","ICRA (SRL Workshop)","Monte Carlo Tree Search with Spectral Expansion for Planning with Dynamical Systems","Benjamin Riviere; John Lathrop; Soon-Jo Chung","N/A","https://sites.google.com/view/srl-icra-2025/accepted-papers","其他/通用","NA",""
"2025","IROS","PhysTwin-Field: Soft Object Deformation Prediction for Agricultural Manipulation","Alex Chen; Lisa Wang","N/A","NA","其他/通用","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; 2 generic CN-style 2-token authors × no affiliation × NA link = batch pattern. | AUDIT_REF=V2025_I01"
"2025","IROS","Safe Navigation in Crowded Pedestrian Zones Using Diffusion Policies","Bob Smith; Alice Johnson","N/A","NA","轮型机器人","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; 'Bob Smith/Alice Johnson' = canonical EN placeholders. | AUDIT_REF=V2025_I02"
"2025","IROS","Underwater SLAM with Event Cameras and Learned Depth Priors","Zhang Wei; Li Na","N/A","NA","水下机器人","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Generic 2-char CN name batch. | AUDIT_REF=V2025_I03"
"2025","IROS","Vocal Control of Dexterous Hands via Speech-to-Action Alignment","Wang Fang; Chen Hao","N/A","NA","机械臂/灵巧手","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_I04"
"2025","IROS","Agile Hexapod Locomotion Over Rough Terrain Using CPG + RL","Liu Yang; Zhao Lin","N/A","NA","四足机器人","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Hexapod → quadruped type mismatch + placeholder pattern. | AUDIT_REF=V2025_I05"
"2025","IROS","Tactile-Driven Insertion for Precision Assembly","Sun Li; Zhou Hua","N/A","NA","机械臂/灵巧手","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_I06"
"2025","IROS","Aerial Tracking of Fast Moving Targets with Event Cameras","Wu Hao; Xu Ming","N/A","NA","UAV/无人机","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_I07"
"2025","IROS","Swarm Coverage Control in Dynamic Environments","Han Jing; Li Peng","N/A","NA","多机器人/集群","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_I08"
"2025","IROS","Soft Robot Gripper for Delicate Biological Samples","Maria Garcia; David Brown","N/A","NA","软体机器人","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; 'Maria Garcia/David Brown' = common EN placeholders. | AUDIT_REF=V2025_I09"
"2025","IROS","Surgical Needle Steering under Uncertain Tissue Deformation","Chen Yu; Zhang Tao","N/A","NA","手术/医疗机器人","NA","DATA_QUALITY=PLACEHOLDER_AUTHORS; Same batch pattern. | AUDIT_REF=V2025_I10"
"2026","ICRA","Human-Robot Interaction","N/A (Trend entry)","N/A","N/A","协作机器人","N/A","Trend: Increased focus on social intelligence and natural language communication. | Desc: Enhancing seamless collaboration between humans and robots in shared environments."
"2026","ICRA","Autonomous Navigation","N/A (Trend entry)","N/A","N/A","移动机器人/无人机","N/A","Trend: Integration of foundation models for semantic understanding and planning. | Desc: Robust navigation in complex, dynamic, and unstructured environments."
"2026","ICRA","Machine Learning in Robotics","N/A (Trend entry)","N/A","N/A","通用","N/A","Trend: End-to-end learning from demonstration and self-supervised improvement. | Desc: Leveraging deep learning and reinforcement learning for robot control and perception."
"2026","ICRA","Healthcare Robotics","N/A (Trend entry)","N/A","N/A","医疗机器人","N/A","Trend: Miniaturization and precision control in surgical procedures. | Desc: Robotics for surgery, rehabilitation, and elderly care."
"2026","ICRA","Sustainable Automation","N/A (Trend entry)","N/A","N/A","农业/环境机器人","N/A","Trend: Energy-efficient designs and long-term autonomy in the wild. | Desc: Robotic solutions for environmental monitoring and sustainable agriculture."
"2026","ICRA","Multi-Robot Systems","N/A (Trend entry)","N/A","N/A","群体机器人","N/A","Trend: Distributed coordination with formal correctness guarantees. | Desc: Swarm algorithms for search, coverage, and transport."
